Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Zip Code,2019,60651,"63,492","17,077","11,299","9,175","8,027","7,257","5,959","3,196","1,502","6,594","5,906","58,929","46,415","7,500","34,216","29,276","27,245",295,"32,223","2,799",930,ZIP_Code-60651-2019
Zip Code,2019,60652,"43,447","11,360","7,017","5,397","6,166","6,133","4,153","2,034","1,187","4,731","3,933","40,752","32,087","5,061","23,006","20,441","18,027",429,"19,747","4,183","1,061",ZIP_Code-60652-2019
Zip Code,2019,60653,"33,154","9,162","5,169","4,760","4,211","3,680","3,352","1,842",978,"3,319","2,923","30,252","23,992","4,239","18,812","14,342",913,418,"29,379","1,624",820,ZIP_Code-60653-2019
Zip Code,2019,60654,"20,022","1,463","5,555","5,971","2,723","2,090","1,477",539,204,404,86,"19,049","18,559","1,330","9,979","10,043","1,156","2,851","1,070","14,365",580,ZIP_Code-60654-2019
Zip Code,2019,60655,"28,569","7,025","4,090","3,459","3,862","4,305","3,293","1,583",952,"2,689","2,414","26,647","21,544","3,648","14,627","13,942","2,586",436,"1,836","23,377",334,ZIP_Code-60655-2019
Zip Code,2019,60656,"28,218","5,241","3,628","5,206","3,587","3,756","3,230","2,244","1,326","1,902","1,461","26,340","22,977","4,968","13,796","14,422","3,768","2,372",327,"21,089",662,ZIP_Code-60656-2019
Zip Code,2019,60657,"70,958","8,951","23,709","17,072","7,136","5,847","4,529","2,158","1,556","3,048","2,028","67,083","62,007","5,702","35,306","35,652","5,385","4,887","2,085","56,603","1,998",ZIP_Code-60657-2019
Zip Code,2019,60659,"42,735","11,218","6,875","6,767","5,499","5,173","3,984","2,231",988,"4,435","3,503","39,463","31,517","5,103","21,244","21,491","8,873","11,861","3,453","16,070","2,478",ZIP_Code-60659-2019
Zip Code,2019,60660,"44,498","5,361","10,768","8,716","5,623","5,616","4,552","2,422","1,440","2,166","1,138","42,489","39,137","5,942","22,027","22,471","7,614","6,000","5,937","23,247","1,700",ZIP_Code-60660-2019
Zip Code,2019,60661,"10,354",917,"3,386","3,459","1,430",658,409,58,37,292,133,"9,862","9,437",332,"5,173","5,181",641,"2,950",429,"6,027",307,ZIP_Code-60661-2019
ZIP Code,2019,60666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZIP_Code-60666-2019
Zip Code,2019,60707,"43,093","8,982","6,752","5,495","6,005","6,181","5,269","2,826","1,583","3,726","2,925","40,762","34,111","6,979","22,556","20,537","16,862","1,533","2,981","20,783",934,ZIP_Code-60707-2019
Zip Code,2019,60827,"28,483","8,229","5,017","3,329","4,095","3,389","2,758","1,177",489,"3,115","2,530","25,905","20,254","2,859","16,017","12,466","1,486",39,"25,575",848,535,ZIP_Code-60827-2019
